TIME	P	Q	P(corr)	Q(corr)
s	uW	mJ	uW	mJ
1	85.571	0.086	85.500	0.086
2	85.620	0.171	85.501	0.171
3	85.521	0.257	85.501	0.257
4	85.417	0.342	85.502	0.342
5	85.521	0.428	85.502	0.428
6	85.497	0.513	85.503	0.513
7	85.571	0.599	85.503	0.599
8	85.521	0.684	85.504	0.684
9	85.571	0.770	85.504	0.770
10	85.571	0.855	85.504	0.855
11	85.472	0.941	85.504	0.941
12	85.546	1.026	85.505	1.026
13	85.472	1.112	85.505	1.112
14	85.497	1.197	85.505	1.197
15	85.571	1.283	85.505	1.283
16	85.571	1.369	85.505	1.368
17	85.380	1.454	85.505	1.454
18	85.497	1.539	85.505	1.539
19	85.546	1.625	85.506	1.625
20	85.472	1.710	85.506	1.710
21	85.472	1.796	85.506	1.796
22	85.448	1.881	85.506	1.881
23	85.423	1.967	85.506	1.967
24	85.521	2.052	85.506	2.052
25	85.521	2.138	85.506	2.138
26	85.546	2.223	85.506	2.223
27	85.521	2.309	85.506	2.309
28	85.521	2.394	85.506	2.394
29	85.472	2.480	85.506	2.480
30	85.509	2.565	85.506	2.565
31	85.497	2.651	85.506	2.651
32	85.571	2.736	85.506	2.736
33	85.521	2.822	85.506	2.822
34	85.571	2.908	85.506	2.907
35	85.546	2.993	85.507	2.993
36	85.448	3.079	85.507	3.078
37	85.620	3.164	85.507	3.164
38	85.472	3.250	85.507	3.249
39	85.571	3.335	85.507	3.335
40	85.546	3.421	85.507	3.420
41	85.571	3.506	85.508	3.506
42	85.521	3.592	85.508	3.591
43	85.491	3.677	85.508	3.677
44	85.448	3.763	85.508	3.762
45	85.497	3.848	85.508	3.848
46	85.448	3.934	85.509	3.933
47	85.399	4.019	85.509	4.019
48	85.497	4.105	85.509	4.104
49	85.472	4.190	85.509	4.190
50	85.497	4.276	85.509	4.275
51	85.497	4.361	85.510	4.361
52	85.472	4.447	85.510	4.446
53	85.497	4.532	85.510	4.532
54	85.448	4.617	85.511	4.617
55	85.595	4.703	85.511	4.703
56	85.399	4.788	85.511	4.788
57	85.448	4.874	85.511	4.874
58	85.595	4.960	85.512	4.959
59	85.472	5.045	85.512	5.045
60	85.497	5.130	85.512	5.130
61	85.521	5.216	85.512	5.216
62	85.497	5.302	85.512	5.301
63	85.571	5.387	85.512	5.387
64	85.571	5.473	85.513	5.472
65	85.546	5.558	85.513	5.558
66	85.546	5.644	85.513	5.643
67	85.546	5.729	85.513	5.729
68	85.595	5.815	85.513	5.814
69	85.546	5.900	85.513	5.900
70	85.669	5.986	85.513	5.986
71	85.546	6.072	85.512	6.071
72	85.497	6.157	85.512	6.157
73	85.521	6.243	85.512	6.242
74	85.497	6.328	85.512	6.328
75	85.521	6.414	85.512	6.413
76	85.546	6.499	85.512	6.499
77	85.448	6.585	85.512	6.584
78	85.423	6.670	85.512	6.670
79	85.472	6.756	85.511	6.755
80	85.546	6.841	85.511	6.841
81	85.472	6.927	85.511	6.926
82	85.454	7.012	85.511	7.012
83	85.546	7.098	85.511	7.097
84	85.448	7.183	85.511	7.183
85	85.399	7.268	85.511	7.268
86	85.399	7.354	85.511	7.354
87	85.472	7.439	85.510	7.439
88	85.521	7.525	85.510	7.525
89	85.521	7.610	85.510	7.610
90	85.448	7.696	85.510	7.696
91	85.497	7.781	85.510	7.781
92	85.472	7.867	85.510	7.867
93	85.423	7.952	85.510	7.952
94	85.472	8.038	85.510	8.038
95	85.546	8.123	85.510	8.123
96	85.497	8.209	85.510	8.209
97	85.497	8.294	85.510	8.294
98	85.521	8.380	85.509	8.380
99	85.472	8.465	85.509	8.465
100	85.546	8.551	85.509	8.551
101	85.448	8.636	85.509	8.636
102	85.521	8.722	85.509	8.722
103	85.571	8.807	85.509	8.807
104	85.448	8.893	85.509	8.893
105	85.423	8.978	85.509	8.978
106	85.497	9.064	85.509	9.064
107	85.546	9.149	85.509	9.149
108	85.583	9.235	85.509	9.235
109	85.521	9.320	85.509	9.320
110	85.546	9.406	85.509	9.406
111	85.497	9.491	85.509	9.491
112	85.472	9.577	85.509	9.577
113	85.472	9.662	85.509	9.662
114	85.472	9.748	85.509	9.748
115	85.472	9.833	85.508	9.833
116	85.571	9.919	85.508	9.919
117	85.448	10.004	85.508	10.004
118	85.423	10.090	85.508	10.090
119	85.423	10.175	85.508	10.176
120	85.423	10.261	85.508	10.261
121	85.528	10.346	85.507	10.347
122	85.521	10.432	85.507	10.432
123	85.521	10.517	85.507	10.518
124	85.448	10.603	85.507	10.603
125	85.521	10.688	85.506	10.689
126	85.448	10.774	85.506	10.774
127	85.423	10.859	85.506	10.860
128	85.399	10.944	85.505	10.945
129	85.448	11.030	85.505	11.031
130	85.644	11.115	85.505	11.116
131	85.448	11.201	85.504	11.202
132	85.546	11.286	85.504	11.287
133	85.546	11.372	85.503	11.373
134	85.472	11.457	85.503	11.458
135	85.497	11.543	85.503	11.544
136	85.595	11.629	85.502	11.629
137	85.521	11.714	85.502	11.715
138	85.571	11.800	85.501	11.800
139	85.521	11.885	85.501	11.886
