EXPERIMENTAL DATA:c:\digitam\result\jbbase2.xpt        DATE 12-Sep-18
START TIME:  15:09       STOP TIME:  15:44       TOTAL TIME:  0:35
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	0.061	0.000	 	 	 	 	FIRST PART #1
2	0.090	0.000	 	 	 	 	BASELINE
3	0.120	0.000	 	 	 	 	cond 1
4	0.294	0.001	 	 	 	 
5	0.255	0.001	 	 	 	 
6	0.083	0.001	 	 	 	 
7	0.005	0.001	 	 	 	 
8	0.120	0.001	 	 	 	 
9	0.098	0.001	 	 	 	 
10	-0.047	0.001	 	 	 	 
11	-0.017	0.001	 	 	 	 
12	0.152	0.001	 	 	 	 
13	0.155	0.001	 	 	 	 
14	0.103	0.001	 	 	 	 
15	0.184	0.002	 	 	 	 
16	0.109	0.002	 	 	 	 
17	0.238	0.002	 	 	 	 
18	0.228	0.002	 	 	 	 
19	0.169	0.002	 	 	 	 
20	0.199	0.003	 	 	 	 
21	0.275	0.003	 	 	 	 
22	0.211	0.003	 	 	 	 
23	0.201	0.003	 	 	 	 
24	0.138	0.003	 	 	 	 
25	0.142	0.004	 	 	 	 
26	0.221	0.004	 	 	 	 
27	0.307	0.004	 	 	 	 
28	0.263	0.004	 	 	 	 
29	0.368	0.005	 	 	 	 
30	0.371	0.005	 	 	 	 
31	0.243	0.005	 	 	 	 
32	0.245	0.006	 	 	 	 
33	0.243	0.006	 	 	 	 
34	0.236	0.006	 	 	 	 
35	0.228	0.006	 	 	 	 
36	0.218	0.007	 	 	 	 
37	0.253	0.007	 	 	 	 
38	0.318	0.007	 	 	 	 
39	0.351	0.007	 	 	 	 
40	0.481	0.008	 	 	 	 
41	0.304	0.008	 	 	 	 
42	0.238	0.008	 	 	 	 
43	0.226	0.009	 	 	 	 
44	0.243	0.009	 	 	 	 
45	0.368	0.009	 	 	 	 
46	0.381	0.010	 	 	 	 
47	0.255	0.010	 	 	 	 
48	0.260	0.010	 	 	 	 
49	0.233	0.010	 	 	 	 
50	0.282	0.011	 	 	 	 
51	0.329	0.011	 	 	 	 
52	0.299	0.011	 	 	 	 
53	0.383	0.012	 	 	 	 
54	0.326	0.012	 	 	 	 
55	0.267	0.012	 	 	 	 
56	0.297	0.013	 	 	 	 
57	0.226	0.013	 	 	 	 
58	0.162	0.013	 	 	 	 
59	0.196	0.013	 	 	 	 
60	0.278	0.013	 	 	 	 
61	0.253	0.014	 	 	 	 
62	0.294	0.014	 	 	 	 
63	0.280	0.014	 	 	 	 
64	0.228	0.015	 	 	 	 
65	0.341	0.015	 	 	 	 
66	0.155	0.015	 	 	 	 
67	0.197	0.015	 	 	 	 
68	0.074	0.015	 	 	 	 
69	0.032	0.015	 	 	 	 
70	0.091	0.015	 	 	 	 
71	0.145	0.016	 	 	 	 
72	0.115	0.016	 	 	 	 
73	0.160	0.016	 	 	 	 
74	0.147	0.016	 	 	 	 
75	0.190	0.016	 	 	 	 
76	0.248	0.016	 	 	 	 
77	0.312	0.017	 	 	 	 
78	0.275	0.017	 	 	 	 
79	0.209	0.017	 	 	 	 
80	0.027	0.017	 	 	 	 
81	0.118	0.017	 	 	 	 
82	0.077	0.017	 	 	 	 
83	-0.027	0.017	 	 	 	 
84	0.091	0.017	 	 	 	 
85	0.106	0.018	 	 	 	 
86	0.054	0.018	 	 	 	 
87	0.110	0.018	 	 	 	 
88	0.103	0.018	 	 	 	 
89	0.195	0.018	 	 	 	 
90	0.120	0.018	 	 	 	 
91	0.206	0.018	 	 	 	 
92	0.270	0.019	 	 	 	 
93	0.204	0.019	 	 	 	 
94	0.260	0.019	 	 	 	 
95	0.312	0.019	 	 	 	 
96	0.299	0.020	 	 	 	 
97	0.272	0.020	 	 	 	 
98	0.155	0.020	 	 	 	 
99	0.152	0.020	 	 	 	 
100	0.292	0.021	 	 	 	 
101	0.272	0.021	 	 	 	 
102	0.400	0.021	 	 	 	 
103	0.400	0.022	 	 	 	 
104	0.445	0.022	 	 	 	 
105	0.432	0.023	 	 	 	 
106	0.537	0.023	 	 	 	 
107	0.557	0.024	 	 	 	 
108	0.599	0.024	 	 	 	 
109	0.518	0.025	 	 	 	 
110	0.663	0.025	 	 	 	 
111	0.624	0.026	 	 	 	 
112	0.579	0.027	 	 	 	 
113	0.633	0.027	 	 	 	 
114	0.714	0.028	 	 	 	 
115	0.815	0.029	 	 	 	 
116	0.807	0.030	 	 	 	 
117	0.780	0.030	 	 	 	 
118	0.904	0.031	 	 	 	 
119	0.856	0.032	 	 	 	 
120	0.913	0.033	 	 	 	 
121	0.898	0.034	 	 	 	 
122	0.881	0.035	 	 	 	 
123	0.856	0.036	 	 	 	 
124	0.871	0.037	 	 	 	 
125	0.950	0.038	 	 	 	 
126	0.825	0.038	 	 	 	 
127	0.879	0.039	 	 	 	 
128	0.937	0.040	 	 	 	 
129	0.817	0.041	 	 	 	 
130	0.793	0.042	 	 	 	 
131	0.771	0.043	 	 	 	 
132	0.790	0.043	 	 	 	 
133	0.808	0.044	 	 	 	 
134	0.876	0.045	 	 	 	 
135	0.942	0.046	 	 	 	 
136	0.906	0.047	 	 	 	 
137	0.967	0.048	 	 	 	 
138	0.928	0.049	 	 	 	 
139	0.996	0.050	 	 	 	 
140	0.946	0.051	 	 	 	 
141	0.768	0.051	 	 	 	 
142	0.795	0.052	 	 	 	 
143	0.825	0.053	 	 	 	 
144	0.800	0.054	 	 	 	 
145	0.780	0.055	 	 	 	 
146	0.798	0.055	 	 	 	 
147	0.729	0.056	 	 	 	 
148	0.777	0.057	 	 	 	 
149	0.726	0.058	 	 	 	 
150	0.866	0.059	 	 	 	 
151	0.822	0.059	 	 	 	 
152	0.825	0.060	 	 	 	 
153	0.834	0.061	 	 	 	 
154	0.741	0.062	 	 	 	 
155	0.720	0.062	 	 	 	 
156	0.751	0.063	 	 	 	 
157	0.633	0.064	 	 	 	 
158	0.690	0.065	 	 	 	 
159	0.645	0.065	 	 	 	 
160	0.567	0.066	 	 	 	 
161	0.587	0.066	 	 	 	 
162	0.650	0.067	 	 	 	 
163	0.623	0.068	 	 	 	 
164	0.704	0.068	 	 	 	 
165	0.771	0.069	 	 	 	 
166	0.886	0.070	 	 	 	 
167	0.847	0.071	 	 	 	 
168	0.724	0.072	 	 	 	 
169	0.729	0.072	 	 	 	 
170	0.726	0.073	 	 	 	 
171	0.613	0.074	 	 	 	 
172	0.628	0.074	 	 	 	 
173	0.623	0.075	 	 	 	 
174	0.694	0.076	 	 	 	 
175	0.717	0.076	 	 	 	 
176	0.739	0.077	 	 	 	 
177	0.701	0.078	 	 	 	 
178	0.680	0.078	 	 	 	 
179	0.763	0.079	 	 	 	 
180	0.670	0.080	 	 	 	 
181	0.611	0.080	 	 	 	 
182	0.682	0.081	 	 	 	 
183	0.611	0.082	 	 	 	 
184	0.609	0.082	 	 	 	 
185	0.631	0.083	 	 	 	 
186	0.748	0.084	 	 	 	 
187	0.839	0.085	 	 	 	 
188	0.822	0.085	 	 	 	 
189	0.697	0.086	 	 	 	 
190	0.660	0.087	 	 	 	 
191	0.675	0.087	 	 	 	 
192	0.628	0.088	 	 	 	 
193	0.690	0.089	 	 	 	 
194	0.724	0.089	 	 	 	 
195	0.785	0.090	 	 	 	 
196	0.736	0.091	 	 	 	 
197	0.611	0.092	 	 	 	 
198	0.510	0.092	 	 	 	 
199	0.572	0.093	 	 	 	 
200	0.452	0.093	 	 	 	 
201	0.383	0.094	 	 	 	 
202	0.385	0.094	 	 	 	 
203	0.481	0.094	 	 	 	 
204	0.525	0.095	 	 	 	 
205	0.400	0.095	 	 	 	 
206	0.289	0.096	 	 	 	 
207	0.319	0.096	 	 	 	 
208	0.292	0.096	 	 	 	 
209	0.157	0.096	 	 	 	 
210	0.091	0.096	 	 	 	 
211	0.103	0.097	 	 	 	 
212	0.216	0.097	 	 	 	 
213	0.191	0.097	 	 	 	 
214	0.017	0.097	 	 	 	 
215	0.135	0.097	 	 	 	 
216	0.167	0.097	 	 	 	 
217	0.002	0.097	 	 	 	 
218	0.054	0.097	 	 	 	 
219	0.047	0.097	 	 	 	 
220	0.175	0.098	 	 	 	 
221	0.140	0.098	 	 	 	 
222	0.061	0.098	 	 	 	 
223	0.064	0.098	 	 	 	 
224	0.017	0.098	 	 	 	 
225	-0.007	0.098	 	 	 	 
226	-0.015	0.098	 	 	 	 
227	-0.140	0.098	 	 	 	 
228	-0.083	0.098	 	 	 	 
229	0.010	0.098	 	 	 	 
230	0.022	0.098	 	 	 	 
231	0.052	0.098	 	 	 	 
232	-0.015	0.098	 	 	 	 
233	0.020	0.098	 	 	 	 
234	0.025	0.098	 	 	 	 
235	0.046	0.098	 	 	 	 
236	0.032	0.098	 	 	 	 
237	0.059	0.098	 	 	 	 
238	0.101	0.098	 	 	 	 
239	0.079	0.098	 	 	 	 
240	0.128	0.098	 	 	 	 
241	0.191	0.098	 	 	 	 
242	0.171	0.099	 	 	 	 
243	0.152	0.099	 	 	 	 
244	0.005	0.099	 	 	 	 
245	-0.005	0.099	 	 	 	 
246	0.071	0.099	 	 	 	 
247	0.071	0.099	 	 	 	 
248	0.093	0.099	 	 	 	 
249	0.194	0.099	 	 	 	 
250	0.136	0.099	 	 	 	 
251	0.204	0.099	 	 	 	 
252	0.204	0.100	 	 	 	 
253	0.110	0.100	 	 	 	 
254	0.204	0.100	 	 	 	 
255	0.066	0.100	 	 	 	 
256	0.039	0.100	 	 	 	 
257	0.121	0.100	 	 	 	 
258	0.074	0.100	 	 	 	 
259	0.169	0.100	 	 	 	 
260	0.240	0.101	 	 	 	 
261	0.140	0.101	 	 	 	 
262	0.098	0.101	 	 	 	 
263	0.194	0.101	 	 	 	 
264	0.260	0.101	 	 	 	 
265	0.299	0.102	 	 	 	 
266	0.162	0.102	 	 	 	 
267	0.177	0.102	 	 	 	 
268	0.245	0.102	 	 	 	 
269	0.250	0.103	 	 	 	 
270	0.272	0.103	 	 	 	 
271	0.329	0.103	 	 	 	 
272	0.184	0.103	 	 	 	 
273	0.223	0.104	 	 	 	 
274	0.258	0.104	 	 	 	 
275	0.177	0.104	 	 	 	 
276	0.133	0.104	 	 	 	 
277	0.167	0.104	 	 	 	 
278	0.130	0.104	 	 	 	 
279	0.142	0.105	 	 	 	 
280	0.152	0.105	 	 	 	 
281	0.029	0.105	 	 	 	 
282	0.042	0.105	 	 	 	 
283	0.115	0.105	 	 	 	 
284	0.017	0.105	 	 	 	 
285	0.007	0.105	 	 	 	 
286	0.092	0.105	 	 	 	 
287	0.059	0.105	 	 	 	 
288	0.145	0.105	 	 	 	 
289	0.056	0.105	 	 	 	 
290	-0.010	0.105	 	 	 	 
291	0.052	0.105	 	 	 	 
292	0.140	0.105	 	 	 	 
293	0.026	0.105	 	 	 	 
294	-0.032	0.105	 	 	 	 
295	0.079	0.105	 	 	 	 
296	-0.083	0.105	 	 	 	 
297	-0.022	0.105	 	 	 	 
298	0.064	0.105	 	 	 	 
299	0.042	0.105	 	 	 	 
300	0.020	0.106	 	 	 	 
301	0.018	0.106	 	 	 	 
302	0.005	0.106	 	 	 	 
303	0.054	0.106	 	 	 	 
304	-0.027	0.106	 	 	 	 
305	-0.025	0.106	 	 	 	 
306	-0.083	0.105	 	 	 	 
307	-0.110	0.105	 	 	 	 
308	-0.167	0.105	 	 	 	 
309	-0.167	0.105	 	 	 	 
310	-0.150	0.105	 	 	 	 
311	-0.061	0.105	 	 	 	 
312	-0.039	0.105	 	 	 	 
313	0.042	0.105	 	 	 	 
314	0.064	0.105	 	 	 	 
315	0.077	0.105	 	 	 	 
316	0.071	0.105	 	 	 	 
317	0.064	0.105	 	 	 	 
318	-0.049	0.105	 	 	 	 
319	-0.083	0.105	 	 	 	 
320	-0.054	0.105	 	 	 	 
321	-0.145	0.105	 	 	 	 
322	-0.053	0.105	 	 	 	 
323	-0.059	0.105	 	 	 	 
324	0.039	0.105	 	 	 	 
325	0.039	0.105	 	 	 	 
326	0.076	0.105	 	 	 	 
327	0.056	0.105	 	 	 	 
328	0.027	0.105	 	 	 	 
329	-0.047	0.105	 	 	 	 
330	0.169	0.105	 	 	 	 
331	0.228	0.105	 	 	 	 
332	0.096	0.105	 	 	 	 
333	0.245	0.106	 	 	 	 
334	0.194	0.106	 	 	 	 
335	0.128	0.106	 	 	 	 
336	0.093	0.106	 	 	 	 
337	0.173	0.106	 	 	 	 
338	0.086	0.106	 	 	 	 
339	0.223	0.106	 	 	 	 
340	0.123	0.107	 	 	 	 
341	0.363	0.107	 	 	 	 
342	0.395	0.107	 	 	 	 
343	0.272	0.108	 	 	 	 
344	0.282	0.108	 	 	 	 
345	0.334	0.108	 	 	 	 
346	0.211	0.108	 	 	 	 
347	0.199	0.109	 	 	 	 
348	0.302	0.109	 	 	 	 
349	0.378	0.109	 	 	 	 
350	0.324	0.110	 	 	 	 
351	0.331	0.110	 	 	 	 
352	0.342	0.110	 	 	 	 
353	0.258	0.111	 	 	 	 
354	0.353	0.111	 	 	 	 
355	0.380	0.111	 	 	 	 
356	0.302	0.112	 	 	 	 
357	0.218	0.112	 	 	 	 
358	0.145	0.112	 	 	 	 
359	0.147	0.112	 	 	 	 
360	0.133	0.112	 	 	 	 
361	0.267	0.113	 	 	 	 
362	0.302	0.113	 	 	 	 
363	0.358	0.113	 	 	 	 
364	0.287	0.113	 	 	 	 
365	0.226	0.114	 	 	 	 
366	0.287	0.114	 	 	 	 
367	0.317	0.114	 	 	 	 
368	0.312	0.115	 	 	 	 
369	0.206	0.115	 	 	 	 
370	0.152	0.115	 	 	 	 
371	0.267	0.115	 	 	 	 
372	0.272	0.116	 	 	 	 
373	0.085	0.116	 	 	 	 
374	0.184	0.116	 	 	 	 
375	0.265	0.116	 	 	 	 
376	0.226	0.116	 	 	 	 
377	0.255	0.117	 	 	 	 
378	0.228	0.117	 	 	 	 
379	0.194	0.117	 	 	 	 
380	0.135	0.117	 	 	 	 
381	0.094	0.117	 	 	 	 
382	0.191	0.117	 	 	 	 
383	0.110	0.117	 	 	 	 
384	0.240	0.118	 	 	 	 
385	0.221	0.118	 	 	 	 
386	0.191	0.118	 	 	 	 
387	0.152	0.118	 	 	 	 
388	0.254	0.119	 	 	 	 
389	0.292	0.119	 	 	 	 
390	0.265	0.119	 	 	 	 
391	0.258	0.119	 	 	 	 
392	0.329	0.120	 	 	 	 
393	0.383	0.120	 	 	 	 
394	0.395	0.120	 	 	 	 
395	0.410	0.121	 	 	 	 
396	0.476	0.121	 	 	 	 
397	0.449	0.122	 	 	 	 
398	0.425	0.122	 	 	 	 
399	0.442	0.123	 	 	 	 
400	0.329	0.123	 	 	 	 
401	0.260	0.123	 	 	 	 
402	0.282	0.124	 	 	 	 
403	0.293	0.124	 	 	 	 
404	0.412	0.124	 	 	 	 
405	0.368	0.125	 	 	 	 
406	0.425	0.125	 	 	 	 
407	0.425	0.125	 	 	 	 
408	0.508	0.126	 	 	 	 
409	0.564	0.127	 	 	 	 
410	0.445	0.127	 	 	 	 
411	0.341	0.127	 	 	 	 
412	0.486	0.128	 	 	 	 
413	0.506	0.128	 	 	 	 
414	0.577	0.129	 	 	 	 
415	0.525	0.129	 	 	 	 
416	0.535	0.130	 	 	 	 
417	0.552	0.130	 	 	 	 
418	0.398	0.131	 	 	 	 
419	0.410	0.131	 	 	 	 
420	0.363	0.132	 	 	 	 
421	0.542	0.132	 	 	 	 
422	0.547	0.133	 	 	 	 
423	0.483	0.133	 	 	 	 
424	0.493	0.134	 	 	 	 
425	0.552	0.134	 	 	 	 
426	0.587	0.135	 	 	 	 
427	0.653	0.136	 	 	 	 
428	0.613	0.136	 	 	 	 
429	0.508	0.137	 	 	 	 
430	0.567	0.137	 	 	 	 
431	0.587	0.138	 	 	 	 
432	0.464	0.138	 	 	 	 
433	0.402	0.139	 	 	 	 
434	0.439	0.139	 	 	 	 
435	0.432	0.140	 	 	 	 
436	0.488	0.140	 	 	 	 
437	0.452	0.140	 	 	 	 
438	0.454	0.141	 	 	 	 
439	0.433	0.141	 	 	 	 
440	0.420	0.142	 	 	 	 
441	0.429	0.142	 	 	 	 
442	0.317	0.143	 	 	 	 
443	0.201	0.143	 	 	 	 
444	0.231	0.143	 	 	 	 
445	0.187	0.143	 	 	 	 
446	0.145	0.143	 	 	 	 
447	0.324	0.144	 	 	 	 
448	0.341	0.144	 	 	 	 
449	0.393	0.144	 	 	 	 
450	0.236	0.145	 	 	 	 
451	0.066	0.145	 	 	 	 
452	-0.010	0.145	 	 	 	 
453	0.052	0.145	 	 	 	 
454	0.055	0.145	 	 	 	 
455	-0.118	0.145	 	 	 	 
456	-0.137	0.144	 	 	 	 
457	-0.044	0.144	 	 	 	 
458	-0.167	0.144	 	 	 	 
459	-0.007	0.144	 	 	 	 
460	0.012	0.144	 	 	 	 
461	0.127	0.144	 	 	 	 
462	0.216	0.145	 	 	 	 
463	0.236	0.145	 	 	 	 
464	0.272	0.145	 	 	 	 
465	0.481	0.146	 	 	 	 
466	0.535	0.146	 	 	 	 
467	0.587	0.147	 	 	 	 
468	0.749	0.147	 	 	 	 
469	0.758	0.148	 	 	 	 
470	0.756	0.149	 	 	 	 
471	0.849	0.150	 	 	 	 
472	1.067	0.151	 	 	 	 
473	1.097	0.152	 	 	 	 
474	1.121	0.153	 	 	 	 
475	0.902	0.154	 	 	 	 
476	0.557	0.155	 	 	 	 
477	0.447	0.155	 	 	 	 
478	0.415	0.155	 	 	 	 
479	0.177	0.156	 	 	 	 
480	-0.020	0.156	 	 	 	 
481	-0.066	0.156	 	 	 	 
482	-0.098	0.155	 	 	 	 
483	-0.068	0.155	 	 	 	 
484	-0.096	0.155	 	 	 	 
485	-0.152	0.155	 	 	 	 
486	-0.221	0.155	 	 	 	 
487	-0.307	0.155	 	 	 	 
488	-0.380	0.154	 	 	 	 
489	-0.314	0.154	 	 	 	 
490	-0.252	0.154	 	 	 	 
491	-0.331	0.153	 	 	 	 
492	-0.452	0.153	 	 	 	 
493	-0.459	0.152	 	 	 	 
494	-0.393	0.152	 	 	 	 
495	-0.373	0.152	 	 	 	 
496	-0.488	0.151	 	 	 	 
497	-0.477	0.151	 	 	 	 
498	-0.653	0.150	 	 	 	 
499	-0.557	0.149	 	 	 	 
500	-0.623	0.149	 	 	 	 
501	-0.726	0.148	 	 	 	 
502	-0.346	0.148	 	 	 	 
503	-0.373	0.147	 	 	 	 
504	-0.351	0.147	 	 	 	 
505	-0.363	0.147	 	 	 	 
506	-0.228	0.146	 	 	 	 
507	-0.228	0.146	 	 	 	 
508	-0.302	0.146	 	 	 	 
509	-0.319	0.146	 	 	 	 
510	-0.206	0.145	 	 	 	 
511	-0.128	0.145	 	 	 	 
512	-0.162	0.145	 	 	 	 
513	-0.177	0.145	 	 	 	 
514	-0.101	0.145	 	 	 	 
515	-0.022	0.145	 	 	 	 
516	0.049	0.145	 	 	 	 
517	0.118	0.145	 	 	 	 
518	0.150	0.145	 	 	 	 
519	0.217	0.145	 	 	 	 
520	0.339	0.146	 	 	 	 
521	0.525	0.146	 	 	 	 
522	0.557	0.147	 	 	 	 
523	0.523	0.147	 	 	 	 
524	0.660	0.148	 	 	 	 
525	0.726	0.149	 	 	 	 
526	0.911	0.150	 	 	 	 
527	0.893	0.150	 	 	 	 
528	0.834	0.151	 	 	 	 
529	0.896	0.152	 	 	 	 
530	1.168	0.153	 	 	 	 
531	1.205	0.155	 	 	 	 
532	1.220	0.156	 	 	 	 
533	1.252	0.157	 	 	 	 
534	1.305	0.158	 	 	 	 
535	1.318	0.160	 	 	 	 
536	1.448	0.161	 	 	 	 
537	1.431	0.163	 	 	 	 
538	1.541	0.164	 	 	 	 
539	1.546	0.166	 	 	 	 
540	1.642	0.167	 	 	 	 
541	1.653	0.169	 	 	 	 
542	1.556	0.171	 	 	 	 
543	1.509	0.172	 	 	 	 
544	1.433	0.173	 	 	 	 
545	1.467	0.175	 	 	 	 
546	1.475	0.176	 	 	 	 
547	1.571	0.178	 	 	 	 
548	1.592	0.180	 	 	 	 
549	1.627	0.181	 	 	 	 
550	1.710	0.183	 	 	 	 
551	1.669	0.185	 	 	 	 
552	1.620	0.186	 	 	 	 
553	1.588	0.188	 	 	 	 
554	1.688	0.189	 	 	 	 
555	1.556	0.191	 	 	 	 
556	1.507	0.193	 	 	 	 
557	1.475	0.194	 	 	 	 
558	1.362	0.195	 	 	 	 
559	1.387	0.197	 	 	 	 
560	1.350	0.198	 	 	 	 
561	1.274	0.199	 	 	 	 
562	1.195	0.201	 	 	 	 
563	1.182	0.202	 	 	 	 
564	0.984	0.203	 	 	 	 
565	0.903	0.204	 	 	 	 
566	0.918	0.205	 	 	 	 
567	1.023	0.206	 	 	 	 
568	0.950	0.207	 	 	 	 
569	0.888	0.207	 	 	 	 
570	0.830	0.208	 	 	 	 
571	0.937	0.209	 	 	 	 
572	0.955	0.210	 	 	 	 
573	0.994	0.211	 	 	 	 
574	0.864	0.212	 	 	 	 
575	0.780	0.213	 	 	 	 
576	0.714	0.213	 	 	 	 
577	0.749	0.214	 	 	 	 
578	0.790	0.215	 	 	 	 
579	0.908	0.216	 	 	 	 
580	0.756	0.217	 	 	 	 
581	0.761	0.217	 	 	 	 
582	0.721	0.218	 	 	 	 
583	0.584	0.219	 	 	 	 
584	0.513	0.219	 	 	 	 
585	0.550	0.220	 	 	 	 
586	0.476	0.220	 	 	 	 
587	0.560	0.221	 	 	 	 
588	0.528	0.221	 	 	 	 
589	0.442	0.222	 	 	 	 
590	0.508	0.222	 	 	 	 
591	0.383	0.223	 	 	 	 
592	0.267	0.223	 	 	 	 
593	0.398	0.223	 	 	 	 
594	0.344	0.224	 	 	 	 
595	0.385	0.224	 	 	 	 
596	0.361	0.224	 	 	 	 
597	0.393	0.225	 	 	 	 
598	0.454	0.225	 	 	 	 
599	0.479	0.226	 	 	 	 
600	0.439	0.226	 	 	 	 
601	0.481	0.227	 	 	 	 
602	0.444	0.227	 	 	 	 
603	0.395	0.228	 	 	 	 
604	0.194	0.228	 	 	 	 
605	0.150	0.228	 	 	 	 
606	0.083	0.228	 	 	 	 
607	0.087	0.228	 	 	 	 
608	-0.010	0.228	 	 	 	 
609	0.106	0.228	 	 	 	 
610	0.074	0.228	 	 	 	 
611	-0.015	0.228	 	 	 	 
612	-0.081	0.228	 	 	 	 
613	-0.098	0.228	 	 	 	 
614	-0.191	0.228	 	 	 	 
615	-0.182	0.228	 	 	 	 
616	-0.199	0.227	 	 	 	 
617	-0.076	0.227	 	 	 	 
618	-0.042	0.227	 	 	 	 
619	0.101	0.227	 	 	 	 
620	0.054	0.228	 	 	 	 
621	-0.064	0.227	 	 	 	 
622	-0.189	0.227	 	 	 	 
623	-0.093	0.227	 	 	 	 
624	-0.187	0.227	 	 	 	 
625	-0.160	0.227	 	 	 	 
626	-0.272	0.227	 	 	 	 
627	-0.196	0.226	 	 	 	 
628	-0.234	0.226	 	 	 	 
629	-0.196	0.226	 	 	 	 
630	-0.221	0.226	 	 	 	 
631	-0.174	0.226	 	 	 	 
632	-0.145	0.225	 	 	 	 
633	-0.088	0.225	 	 	 	 
634	-0.076	0.225	 	 	 	 
635	-0.270	0.225	 	 	 	 
636	-0.151	0.225	 	 	 	 
637	-0.152	0.225	 	 	 	 
638	-0.172	0.224	 	 	 	 
639	-0.221	0.224	 	 	 	 
640	-0.172	0.224	 	 	 	 
641	-0.314	0.224	 	 	 	 
642	-0.319	0.223	 	 	 	 
643	-0.267	0.223	 	 	 	 
644	-0.184	0.223	 	 	 	 
645	-0.307	0.223	 	 	 	 
646	-0.216	0.222	 	 	 	 
647	-0.346	0.222	 	 	 	 
648	-0.348	0.222	 	 	 	 
649	-0.334	0.221	 	 	 	 
650	-0.379	0.221	 	 	 	 
651	-0.510	0.221	 	 	 	 
652	-0.528	0.220	 	 	 	 
653	-0.483	0.220	 	 	 	 
654	-0.358	0.219	 	 	 	 
655	-0.456	0.219	 	 	 	 
656	-0.599	0.218	 	 	 	 
657	-0.528	0.218	 	 	 	 
658	-0.517	0.217	 	 	 	 
659	-0.479	0.217	 	 	 	 
660	-0.442	0.216	 	 	 	 
661	-0.486	0.216	 	 	 	 
662	-0.400	0.215	 	 	 	 
663	-0.346	0.215	 	 	 	 
664	-0.380	0.215	 	 	 	 
665	-0.357	0.214	 	 	 	 
666	-0.385	0.214	 	 	 	 
667	-0.533	0.213	 	 	 	 
668	-0.474	0.213	 	 	 	 
669	-0.385	0.212	 	 	 	 
670	-0.375	0.212	 	 	 	 
671	-0.439	0.212	 	 	 	 
672	-0.398	0.211	 	 	 	 
673	-0.422	0.211	 	 	 	 
674	-0.398	0.210	 	 	 	 
675	-0.459	0.210	 	 	 	 
676	-0.520	0.209	 	 	 	 
677	-0.741	0.209	 	 	 	 
678	-0.798	0.208	 	 	 	 
679	-0.683	0.207	 	 	 	 
680	-0.682	0.206	 	 	 	 
681	-0.670	0.206	 	 	 	 
682	-0.707	0.205	 	 	 	 
683	-0.643	0.204	 	 	 	 
684	-0.670	0.204	 	 	 	 
685	-0.714	0.203	 	 	 	 
686	-0.721	0.202	 	 	 	 
687	-0.830	0.202	 	 	 	 
688	-0.871	0.201	 	 	 	 
689	-0.918	0.200	 	 	 	 
690	-1.028	0.199	 	 	 	 
691	-0.999	0.198	 	 	 	 
692	-0.962	0.197	 	 	 	 
693	-1.036	0.196	 	 	 	 
694	-0.999	0.195	 	 	 	 
695	-0.891	0.194	 	 	 	 
696	-0.893	0.193	 	 	 	 
697	-1.026	0.192	 	 	 	 
698	-1.072	0.191	 	 	 	 
699	-1.050	0.190	 	 	 	 
700	-1.094	0.189	 	 	 	 
701	-1.110	0.188	 	 	 	 
702	-1.168	0.186	 	 	 	 
703	-1.148	0.185	 	 	 	 
704	-1.067	0.184	 	 	 	 
705	-1.080	0.183	 	 	 	 
706	-1.227	0.182	 	 	 	 
707	-1.220	0.181	 	 	 	 
708	-1.225	0.179	 	 	 	 
709	-1.296	0.178	 	 	 	 
710	-1.283	0.177	 	 	 	 
711	-1.357	0.176	 	 	 	 
712	-1.269	0.174	 	 	 	 
713	-1.261	0.173	 	 	 	 
714	-1.190	0.172	 	 	 	 
715	-1.175	0.171	 	 	 	 
716	-1.161	0.169	 	 	 	 
717	-0.979	0.168	 	 	 	 
718	-1.070	0.167	 	 	 	 
719	-1.117	0.166	 	 	 	 
720	-1.144	0.165	 	 	 	 
721	-1.200	0.164	 	 	 	 
722	-1.001	0.163	 	 	 	 
723	-1.064	0.162	 	 	 	 
724	-1.117	0.161	 	 	 	 
725	-1.119	0.160	 	 	 	 
726	-1.077	0.159	 	 	 	 
727	-1.058	0.158	 	 	 	 
728	-1.126	0.156	 	 	 	 
729	-1.151	0.155	 	 	 	 
730	-1.075	0.154	 	 	 	 
731	-1.045	0.153	 	 	 	 
732	-0.935	0.152	 	 	 	 
733	-0.984	0.151	 	 	 	 
734	-0.967	0.150	 	 	 	 
735	-0.937	0.149	 	 	 	 
736	-0.879	0.148	 	 	 	 
737	-0.928	0.147	 	 	 	 
738	-0.909	0.147	 	 	 	 
739	-0.945	0.146	 	 	 	 
740	-1.048	0.145	 	 	 	 
741	-1.077	0.144	 	 	 	 
742	-1.244	0.142	 	 	 	 
743	-1.198	0.141	 	 	 	 
744	-1.021	0.140	 	 	 	 
745	-1.047	0.139	 	 	 	 
746	-1.112	0.138	 	 	 	 
747	-1.195	0.137	 	 	 	 
748	-1.102	0.136	 	 	 	 
749	-1.131	0.134	 	 	 	 
750	-1.193	0.133	 	 	 	 
751	-1.173	0.132	 	 	 	 
752	-1.305	0.131	 	 	 	 
753	-1.445	0.129	 	 	 	 
754	-1.283	0.128	 	 	 	 
755	-1.148	0.127	 	 	 	 
